공원명,일련번호,지점명,생화학적산소요구량_1차(BOD),생화학적산소요구량_2차(BOD),생화학적산소요구량_3차(BOD),생화학적산소요구량_4차(BOD)
지리산,지리-1,유평계곡,0.3,0.3,0.3,0.3
지리산,지리-2,중산리계곡,0.4,0.3,0.2,0.3
지리산,지리-3,백무동계곡,0.4,0.3,0.3,0.3
지리산,지리-4,쌍계사계곡,0.5,0.3,0.1,0.3
지리산,지리-5,대성계곡,0.5,0.4,0.5,0.5
지리산,지리-6,단천계곡,0.5,0.4,0.2,0.4
지리산,지리-7,내원계곡,0.4,0.3,0.5,0.4
지리산,지리-8,장당계곡,0.7,0.5,0.2,0.5
지리산,지리-9,칠선계곡,0.4,0.4,0.5,0.4
지리산,지리-10,거림계곡,0.4,0.5,0.2,0.4
지리산,지리-11,순두류계곡,0.4,0.5,0.3,0.4
지리산남부,지남-1,천은계곡,0.4,0,0.7,0.4
지리산남부,지남-2,천은계곡,0.4,0.4,0.6,0.5
지리산남부,지남-3,화엄계곡,0.5,0.3,0.7,0.5
지리산남부,지남-4,화엄계곡,0.5,0.3,0.8,0.5
지리산남부,지남-5,피아골계곡,0.5,0.4,0.7,0.5
지리산남부,지남-6,피아골계곡,0.5,0.4,0.7,0.5
지리산남부,지남-7,심원계곡,0.4,0.4,0.8,0.5
지리산남부,지남-8,심원계곡,0.3,0.5,0.6,0.5
지리산북부,지북-1,뱀사골계곡,0.4,0.6,0.4,0.5
지리산북부,지북-2,달궁계곡,0.3,0.7,0.5,0.5
지리산북부,지북-3,만수천계곡,0.3,0.6,0.5,0.5
경주,경주-1,황룡동계곡,0.4,0.4,0.3,0.4
경주,경주-2,황룡동계곡,0.5,0.4,0.3,0.4
경주,경주-3,황룡동계곡,0.2,0.5,0.2,0.3
계룡산,계룡-1,동학사계곡,0.1,0.1,0.2,0.1
계룡산,계룡-2,동학사계곡,0.1,0.1,0.1,0.1
계룡산,계룡-3,동학사계곡,0.1,0.1,0.1,0.1
계룡산,계룡-4,갑사계곡,0.1,0.1,0.1,0.1
계룡산,계룡-5,갑사계곡,0.2,0.1,0.1,0.1
계룡산,계룡-6,갑사계곡,0.3,0.1,0.1,0.2
계룡산,계룡-7,화산계곡,0.2,0.1,0.1,0.1
계룡산,계룡-8,화산계곡,0.1,0.1,0.1,0.1
계룡산,계룡-9,화산계곡,0.2,0.1,0.1,0.1
설악산,설악-1,쌍천,0.2,0,0.2,0.1
설악산,설악-2,쌍천,0.2,0.1,0.2,0.2
설악산,설악-4,주전골,0.2,0.1,0.3,0.2
설악산,설악-5,오색천,0.2,0,0.2,0.1
설악산,설악-6,백담계곡,0.2,0,0.2,0.1
설악산,설악-7,백담계곡,0.1,0,0.2,0.1
속리산,속리-1,법주사계곡,0.3,0.1,0.1,0.2
속리산,속리-3,화양동계곡,0.2,0.1,0.1,0.1
속리산,속리-4,쌍곡계곡,0.3,0.1,0.1,0.2
속리산,속리-5,화양계곡,0.3,0.3,0.1,0.2
속리산,속리-6,오송계곡,0.1,0.1,0.1,0.1
속리산,속리-7,법주사계곡,0.2,0.2,0.1,0.2
내장산,내장-1,내장천-1,1,0.8,0.5,0.8
내장산,내장-2,내장천-2,0.7,0.9,0.5,0.7
내장산,내장-3,내장천-3,0.6,0.9,0.4,0.6
내장산백암,내백-1,백양계곡1,0.4,0.3,0.3,0.3
내장산백암,내백-3,남창계곡1,0.5,0.2,0.4,0.4
내장산백암,내백-5,청류동골,0.9,0.3,0.3,0.5
내장산백암,내백-6,자하동골,0.8,0.3,0.4,0.5
가야산,가야-1,홍류동계곡,0.4,0.4,0.9,0.6
가야산,가야-2,홍류동계곡,0.5,0.5,0.8,0.6
가야산,가야-4,홍류동계곡,0.5,0.4,0.9,0.6
덕유산,덕유-1,구천동계곡,0.6,0.4,0.7,0.6
덕유산,덕유-2,구천동계곡,0.7,0.6,0.5,0.6
덕유산,덕유-3,원당천,0.3,0.5,0.6,0.5
덕유산,덕유-4,원당천,0.6,0.6,0.5,0.6
덕유산,덕유-5,원당천,0.5,0.7,0.6,0.6
덕유산,덕유-6,원당천,0.8,0.4,0.5,0.6
오대산,오대-1,오대천,0.2,0.2,0.3,0.2
오대산,오대-2,오대천,0.4,0,0.3,0.2
오대산,오대-3,소금강계곡,0.2,0,0.2,0.1
오대산,오대-4,소금강계곡,0.2,0,0.2,0.1
주왕산,주왕-1,주왕계곡,0.8,0.3,0.6,0.6
주왕산,주왕-2,월외계곡,0.5,0.3,0.7,0.5
주왕산,주왕-3,월외계곡,0.6,0.6,0.3,0.5
주왕산,주왕-5,절골계곡,0.7,0.4,0.6,0.6
치악산,치악-1,구룡계곡,0.1,0.1,0.2,0.1
치악산,치악-2,구룡계곡,0.1,0.1,0.4,0.2
치악산,치악-3,금대계곡,0.2,0,0.2,0.1
치악산,치악-4,금대계곡,0.1,0.1,0.2,0.1
월악산,월악-1,미륵리계곡,0.2,0.2,0.3,0.2
월악산,월악-2,송계계곡,0.2,0.3,0.2,0.2
월악산,월악-3,선암계곡,0.2,0.2,0.1,0.2
월악산,월악-4,선암계곡,0.2,0.2,0.4,0.3
월악산,월악-5,송계계곡,0.2,0.2,0.2,0.2
월악산,월악-6,용하계곡,0.2,0.2,0.2,0.2
북한산,북한-1,정릉계곡,0.7,0.5,0.6,0.6
북한산,북한-2,우이계곡,0.5,0.6,0.7,0.6
북한산,북한-3,구기계곡,0.6,0.6,0.7,0.6
북한산,북한-4,북한산성계곡,0.6,0.5,0.5,0.5
북한산,북한-5,구천계곡,0.5,0.5,0.6,0.5
북한산,북한-6,삼천사계곡,0.7,0.6,0.5,0.6
북한산,북한-7,사기막계곡,0.6,0.6,0.5,0.6
북한산,북한-8,진관사계곡,0.5,0.5,0.6,0.5
북한산도봉,북도-1,송추계곡,0.6,0.6,0.6,0.6
북한산도봉,북도-3,도봉계곡,0.6,0.6,0.6,0.6
북한산도봉,북도-4,사패계곡,0.5,0.6,0.6,0.6
북한산도봉,북도-5,원도봉계곡,0.5,0.5,0.5,0.5
북한산도봉,북도-6,회룡계곡,0.5,0.6,0.6,0.6
북한산도봉,북도-7,우이령계곡,0.6,0.6,0.6,0.6
소백산,소백-1,희방계곡1,0.4,0.1,0.6,0.4
소백산,소백-2,희방계곡2,0.4,0.4,0.8,0.5
소백산,소백-3,삼가계곡1,0.6,0.5,0.6,0.6
소백산,소백-4,삼가계곡2,0.3,0.2,0.6,0.4
소백산북부,소북-1,천동계곡,0.2,0.5,0.3,0.3
소백산북부,소북-2,죽령계곡,0.3,0.5,0.3,0.4
소백산북부,소북-3,남천계곡,0.2,0.2,0.3,0.2
소백산북부,소북-4,어의계곡,0.2,0.3,0.2,0.2
월출산,월출-1,천황계곡,0.1,0.5,0.3,0.3
월출산,월출-2,도갑사계곡,0.2,0.4,0.4,0.3
월출산,월출-3,경포대계곡,0.3,0.4,0.4,0.4
변산반도,변산-1,직소천,0.3,0.8,0.5,0.5
